영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명,
1,영업/정상,영업,27123213,121812,서울특별시 마포구 도화동 25-8번지 1층 ,서울특별시 마포구 새창로 17 (도화동1층),서울 마포구 새창로,4169,본점최대포 1호점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,27195921,121803,서울특별시 마포구 공덕동 242-84번지 ,서울특별시 마포구 마포대로8길 29 (공덕동),서울 마포구 마포대로8길,4210,본죽 마포공덕점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,27114010,121815,서울특별시 마포구 도화동 571번지 나눔빌딩2층202호 ,서울특별시 마포구 도화길 43 2층 202호 (도화동 나눔빌딩),서울 마포구 도화길,4168,본죽 마포도화점,I,2018.8.31 23:59,분식,
1,영업/정상,영업,23325808,121874,서울특별시 마포구 염리동 174-14번지 네이버타운105호 ,서울특별시 마포구 큰우물로 53 (염리동네이버타운105호),서울 마포구 큰우물로,4154,본죽 마포용강점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,,121829,서울특별시 마포구 상수동 329-2번지 균빌딩 ,서울특별시 마포구 독막로 90 균빌딩 지상1층 (상수동),서울 마포구 독막로,4075,본죽 상수역점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,23756280,121795,서울특별시 마포구 상암동 1605번지 누리꿈스퀘어 B1047 ,서울특별시 마포구 월드컵북로 396 (상암동누리꿈스퀘어 B1047),서울 마포구 월드컵북로,3925,본죽 상암DMC점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,,121270,서울특별시 마포구 상암동 1740번지 ,서울특별시 마포구 월드컵북로 502 (상암동 월드컵파크프라자 1층 113호),서울 마포구 월드컵북로,3918,본죽 상암하늘초교점,U,2018.12.21 2:40,한식,
1,영업/정상,영업,27136388,121854,서울특별시 마포구 신수동 66-2 신촌크리닉존 지하1층103호,서울특별시 마포구 서강로 106 (신수동신촌크리닉존 지하1층103호),서울 마포구 서강로,4094,본죽 신수서강대역점,U,2019.12.8 0:01,한식,
1,영업/정상,영업,,121837,서울특별시 마포구 서교동 486번지 서교푸르지오 지하1층 106호 ,서울특별시 마포구 홍익로 10 (서교동서교푸르지오 지하1층 106호),서울 마포구 홍익로,4055,본죽 홍대점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,,121827,서울특별시 마포구 망원동 483-10번지 ,서울특별시 마포구 망원로 85 1층 (망원동),서울 마포구 망원로,3964,본죽&비빔밥cafe 망원역점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,23386288,121839,서울특별시 마포구 서교동 392-20 외2필지 체리스빌딩 1층 102호,서울특별시 마포구 양화로 73 (서교동외2필지 체리스빌딩 1층 102호),서울 마포구 양화로,4037,본죽&비빔밥cafe 합정역점,U,2019.11.1 0:06,한식,
1,영업/정상,영업,,121850,서울특별시 마포구 성산동 595번지 도시개발공사성산아파트 ,서울특별시 마포구 월드컵로 205 임대아파트상가 102호 (성산동),서울 마포구 월드컵로,3953,본초곱창,U,2019.6.16 2:40,한식,
1,영업/정상,영업,,121878,서울특별시 마포구 중동 165-9,서울특별시 마포구 성암로3길 8 1층 102호 (중동),서울 마포구 성암로3길,3950,본태스시,I,2019.12.8 23:02,기타,
1,영업/정상,영업,23220552,121824,서울특별시 마포구 망원동 436-4번지 ,서울특별시 마포구 방울내로7길 5 (망원동),서울 마포구 방울내로7길,3960,볼링,I,2018.8.31 23:59,한식,마포 볼링'으로 검색시 볼링장이 먼저 뜸
1,영업/정상,영업,23251277,121880,서울특별시 마포구 창전동 5-137,서울특별시 마포구 서강로9길 56 102호 (창전동 송우빌딩),서울 마포구 서강로9길,4061,볼빨간꽃돼지,U,2020.12.6 0:06,한식,
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 382-27번지 ,서울특별시 마포구 동교로38길 30 (연남동),서울 마포구 동교로38길,3982,봄띠,U,2020.3.6 2:40,기타,
1,영업/정상,영업,,121875,서울특별시 마포구 용강동 116-1번지 1층 103호 ,서울특별시 마포구 토정로 276 (용강동 1층 103호),서울 마포구 토정로,4162,봉구비어 마포용강동점,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,,121859,서울특별시 마포구 아현동 327-25번지 1층일부 ,서울특별시 마포구 굴레방로 27 (아현동 1층일부),서울 마포구 굴레방로,4116,봉구비어 아현역점,I,2018.8.31 23:59,통닭(치킨),
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 260-25번지 ,서울특별시 마포구 동교로36길 3 (연남동 2층),서울 마포구 동교로36길,3982,봉구비어 연남동점,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,,121893,서울특별시 마포구 서교동 394-78 1층 101호,서울특별시 마포구 양화로8길 32-15 (서교동1층 101호),서울 마포구 양화로8길,4044,봉구비어 합정카페거리점,U,2019.10.31 22:00,까페,
1,영업/정상,영업,28885028,121836,서울특별시 마포구 서교동 325-9번지 ,서울특별시 마포구 와우산로32길 17 (서교동),서울 마포구 와우산로32길,4061,봉구비어 홍대산울림점,I,2018.8.31 23:59,까페,
1,영업/정상,영업,,121854,서울특별시 마포구 신수동 23-1 1층,서울특별시 마포구 서강대길 11 1층 (신수동),서울 마포구 서강대길,4111,봉구스밥버거 서강대점,U,2020.12.7 22:02,기타,
1,영업/정상,영업,,121795,서울특별시 마포구 상암동 1605 누리꿈스퀘어,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 지1층 B1090 B1091호 (상암동),서울 마포구 월드컵북로,3925,봉길이네순대국,U,2020.12.4 23:03,한식,
1,영업/정상,영업,2203260920,121837,서울특별시 마포구 서교동 486번지 서교푸르지오 B118B119B120호 ,서울특별시 마포구 홍익로 10 (서교동서교푸르지오 B118B119B120호),서울 마포구 홍익로,4055,봉대박 파스타&찜닭 홍대점,I,2018.8.31 23:59,경양식,
